"CubeId";"babilhypisdpua"
"PublishingDate";"2020-09-24 09:00"

"Date";"INLANDAUSLAND";"BANKENGRUPPE";"Value"
"2006";"SZ";"G15";"3305.431"
"2006";"SZ";"G20";"1550.7"
"2006";"SZ";"G25";"1627.371"
"2006";"OW";"S10";"3272.068"
"2006";"OW";"G10";"2069.162"
"2006";"OW";"G15";"501.909"
"2006";"OW";"G20";"111.551"
"2006";"OW";"G25";"547.096"
"2006";"NW";"S10";"3954.299"
"2006";"NW";"G10";"2018.09"
"2006";"NW";"G15";"869.311"
"2006";"NW";"G20";"26.082"
"2006";"NW";"G25";"922.14"
"2006";"GL";"S10";"3064.813"
"2006";"GL";"G10";"1810.948"
"2006";"GL";"G15";"612.066"
"2006";"GL";"G20";"362.072"
"2006";"GL";"G25";"248.714"
"2006";"ZG";"S10";"12895.624"
"2006";"ZG";"G10";"6787.466"
"2006";"ZG";"G15";"3029.031"
"2006";"ZG";"G20";"117.405"
"2006";"ZG";"G25";"2480.107"
"2006";"FR";"S10";"19651.587"
"2006";"FR";"G10";"6360.851"
"2006";"FR";"G15";"6481.769"
"2006";"FR";"G20";"1456.257"
"2006";"FR";"G25";"4501.258"
"2006";"SO";"S10";"23802.92"
"2006";"SO";"G10";"2454.837"
"2006";"SO";"G15";"6693.759"
"2006";"SO";"G20";"6315.231"
"2006";"SO";"G25";"6879.23"
"2006";"BS";"S10";"12424.12"
"2006";"BS";"G10";"5208.73"
"2006";"BS";"G15";"4862.889"
"2006";"BS";"G20";"134.594"
"2006";"BS";"G25";"182.689"
"2006";"BL";"S10";"25841.429"
"2006";"BL";"G10";"12063.084"
"2006";"BL";"G15";"7963.331"
"2006";"BL";"G20";"615.983"
"2006";"BL";"G25";"2435.038"
"2006";"SH";"S10";"6491.331"
"2006";"SH";"G10";"2824.666"
"2006";"SH";"G15";"1681.799"
"2006";"SH";"G20";"1307.074"
"2006";"SH";"G25";"306.205"
"2006";"AR";"S10";"4147.101"
"2006";"AR";"G10";"1189.784"
"2006";"AR";"G15";"1670.56"
"2006";"AR";"G20";"284.527"
"2006";"AR";"G25";"843.392"
"2006";"AI";"S10";"1386.567"
"2006";"AI";"G10";"945.249"
"2006";"AI";"G15";"115.94"
"2006";"AI";"G20";"17.374"
"2006";"AI";"G25";"297.342"
"2006";"SG";"S10";"39175.96"
"2006";"SG";"G10";"12945.612"
"2006";"SG";"G15";"7724.295"
"2006";"SG";"G20";"5407.436"
"2006";"SG";"G25";"11847.216"
"2006";"GR";"S10";"20977.549"
"2006";"GR";"G10";"10128.549"
"2006";"GR";"G15";"6832.841"
"2006";"GR";"G20";"222.61"
"2006";"GR";"G25";"2987.174"
"2006";"AG";"S10";"57656.701"
"2006";"AG";"G10";"13428.579"
"2006";"AG";"G15";"13045.091"
"2006";"AG";"G20";"17628.88"
"2006";"AG";"G25";"10770.272"
"2006";"TG";"S10";"23092.487"
"2006";"TG";"G10";"11485.074"
"2006";"TG";"G15";"4738.301"
"2006";"TG";"G20";"265.003"
"2006";"TG";"G25";"5841.774"
"2006";"TI";"S10";"29389.901"
"2006";"TI";"G10";"5469.896"
"2006";"TI";"G15";"12613.918"
"2006";"TI";"G20";"161.984"
"2006";"TI";"G25";"5657.558"
"2006";"VD";"S10";"47638.076"
"2006";"VD";"G10";"16925.932"
"2006";"VD";"G15";"21606.369"
"2006";"VD";"G20";"1062.662"
"2006";"VD";"G25";"3799.979"
"2006";"VS";"S10";"20958.355"
"2006";"VS";"G10";"5297.73"
"2006";"VS";"G15";"8633.382"
"2006";"VS";"G20";"172.874"
"2006";"VS";"G25";"5855.643"
"2006";"NE";"S10";"9476.388"
"2006";"NE";"G10";"3730.975"
"2006";"NE";"G15";"4045.439"
